,,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Sample,Signal,
3,B04,-,153733,
3,B05,-,120926,
3,B06,-,127038,
3,B07,-,76219,
3,B08,-,222826,
3,B09,-,241566,
3,B10,-,238970,
3,B11,-,106411,
3,B12,-,137272,
3,B13,-,136410,
3,B14,-,151868,
3,B15,-,183798,
3,B16,-,139580,
3,B17,-,118904,
3,B18,-,182903,
3,B19,-,215491,
3,B20,-,140633,
3,B21,-,127046,
3,B22,-,133482,
3,B23,-,190988,
3,B24,-,312507,
3,C01,-,253043,
3,C02,-,123728,
3,C03,-,169660,
3,C04,-,131945,
3,C05,-,150461,
3,C06,-,119194,
3,C07,-,217995,
3,C08,-,159056,
3,C09,-,214667,
3,C10,-,161269,
3,C11,-,154128,
3,C12,-,256622,
3,C13,-,136665,
3,C14,-,151704,
3,C15,-,110723,
3,C16,-,135694,
3,C17,-,123877,
3,C18,-,133098,
3,C19,-,131912,
3,C20,-,95322,
3,C21,-,112821,
3,C22,-,130952,
3,C23,-,148293,
3,C24,-,291162,
3,D01,-,210505,
3,D02,-,111913,
3,D03,-,102438,
3,D04,-,149223,
3,D05,-,131270,
3,D06,-,109451,
3,D07,-,90864,
3,D08,-,88021,
3,D09,-,143309,
3,D10,-,207034,
3,D11,-,160576,
3,D12,-,99357,
3,D13,-,137384,
3,D14,-,141290,
3,D15,-,173094,
3,D16,-,64818,
3,D17,-,128662,
3,D18,-,154536,
3,D19,-,113908,
3,D20,-,101452,
3,D21,-,89007,
3,D22,-,85704,
3,D23,-,137924,
3,D24,-,288926,
3,E01,-,256262,
3,E02,-,125505,
3,E03,-,182249,
3,E04,-,200517,
3,E05,-,167216,
3,E06,-,130332,
3,E07,-,210620,
3,E08,-,161622,
3,E09,-,225030,
3,E10,-,132879,
3,E11,-,140053,
3,E12,-,154021,
3,E13,-,115667,
3,E14,-,154280,
3,E15,-,182771,
3,E16,-,154572,
3,E17,-,204623,
3,E18,-,153643,
3,E19,-,126253,
3,E20,-,129954,
3,E21,-,125961,
3,E22,-,117687,
3,E23,-,114241,
3,E24,-,354986,
3,F01,-,318735,
3,F02,-,152551,
3,F03,-,138007,
3,F04,-,121066,
3,F05,-,144405,
3,F06,-,158685,
3,F07,-,166365,
3,F08,-,178677,
3,F09,-,92716,
3,F10,-,191404,
3,F11,-,153147,
3,F12,-,102544,
3,F13,-,153801,
3,F14,-,151222,
3,F15,-,178597,
3,F16,-,160715,
3,F17,-,179573,
3,F18,-,225927,
3,F19,-,110963,
3,F20,-,102738,
3,F21,-,114289,
3,F22,-,111524,
3,F23,-,153444,
3,F24,-,393388,
3,G01,-,221880,
3,G02,-,97135,
3,G03,-,210381,
3,G04,-,172965,
3,G05,-,150367,
3,G06,-,101345,
3,G07,-,188858,
3,G08,-,147462,
3,G09,-,209283,
3,G10,-,103845,
3,G11,-,128324,
3,G12,-,118033,
3,G13,-,97544,
3,G14,-,104786,
3,G15,-,144185,
3,G16,-,138275,
3,G17,-,161434,
3,G18,-,134020,
3,G19,-,102359,
3,G20,-,131811,
3,G21,-,101155,
3,G22,-,92490,
3,G23,-,110826,
3,G24,-,269375,
3,H01,-,230312,
3,H02,-,124781,
3,H03,-,98121,
3,H04,-,162247,
3,H05,-,124389,
3,H06,-,107974,
3,H07,-,98861,
3,H08,-,211057,
3,H09,-,143135,
3,H10,-,177780,
3,H11,-,112381,
3,H12,-,129840,
3,H13,-,122592,
3,H14,-,104018,
3,H15,-,140935,
3,H16,-,110211,
3,H17,-,122599,
3,H18,-,139403,
3,H19,-,108446,
3,H20,-,88596,
3,H21,-,86353,
3,H22,-,89557,
3,H23,-,96275,
3,H24,-,160587,
3,I01,-,350662,
3,I02,-,210298,
3,I03,-,229999,
3,I04,-,262237,
3,I05,-,175253,
3,I06,-,205146,
3,I07,-,277124,
3,I08,-,217341,
3,I09,-,295687,
3,I10,-,198410,
3,I11,-,165720,
3,I12,-,247804,
3,I13,-,164372,
3,I14,-,194915,
3,I15,-,197887,
3,I16,-,230245,
3,I17,-,221542,
3,I18,-,177472,
3,I19,-,156538,
3,I20,-,208322,
3,I21,-,207961,
3,I22,-,153042,
3,I23,-,145292,
3,I24,-,424377,
3,J01,-,177429,
3,J02,-,193988,
3,J03,-,218518,
3,J04,-,280463,
3,J05,-,140710,
3,J06,-,236136,
3,J07,-,215186,
3,J08,-,126743,
3,J09,-,191555,
3,J10,-,179559,
3,J11,-,246068,
3,J12,-,283914,
3,J13,-,256175,
3,J14,-,139605,
3,J15,-,242230,
3,J16,-,246736,
3,J17,-,221400,
3,J18,-,70323,
3,J19,-,207440,
3,J20,-,170946,
3,J21,-,124582,
3,J22,-,289322,
3,J23,-,179888,
3,J24,-,158767,
3,K01,-,242208,
3,K02,-,152807,
3,K03,-,189581,
3,K04,-,195076,
3,K05,-,169368,
3,K06,-,183630,
3,K07,-,227384,
3,K08,-,184808,
3,K09,-,224020,
3,K10,-,156823,
3,K11,-,124545,
3,K12,-,180505,
3,K13,-,117509,
3,K14,-,209357,
3,K15,-,189564,
3,K16,-,208702,
3,K17,-,194211,
3,K18,-,188342,
3,K19,-,147753,
3,K20,-,195061,
3,K21,-,199162,
3,K22,-,162412,
3,K23,-,215567,
3,K24,-,410212,
3,L01,-,344968,
3,L02,-,102457,
3,L03,-,170590,
3,L04,-,171197,
3,L05,-,190680,
3,L06,-,179932,
3,L07,-,164962,
3,L08,-,146268,
3,L09,-,164169,
3,L10,-,59610,
3,L11,-,116633,
3,L12,-,157617,
3,L13,-,36111,
3,L14,-,70287,
3,L15,-,136699,
3,L16,-,124009,
3,L17,-,166076,
3,L18,-,176081,
3,L19,-,132173,
3,L20,-,142472,
3,L21,-,116955,
3,L22,-,152423,
3,L23,-,144054,
3,L24,-,212324,
